run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20200629-20:05:52-10244,runattr,,,configname,General,,,
General-0-20200629-20:05:52-10244,runattr,,,datetime,20200629-20:05:52,,,
General-0-20200629-20:05:52-10244,runattr,,,experiment,General,,,
General-0-20200629-20:05:52-10244,runattr,,,inifile,03_example_frame_preemption.ini,,,
General-0-20200629-20:05:52-10244,runattr,,,iterationvars,,,,
General-0-20200629-20:05:52-10244,runattr,,,iterationvarsf,,,,
General-0-20200629-20:05:52-10244,runattr,,,measurement,,,,
General-0-20200629-20:05:52-10244,runattr,,,network,TestScenario,,,
General-0-20200629-20:05:52-10244,runattr,,,processid,10244,,,
General-0-20200629-20:05:52-10244,runattr,,,repetition,0,,,
General-0-20200629-20:05:52-10244,runattr,,,replication,#0,,,
General-0-20200629-20:05:52-10244,runattr,,,resultdir,results_frame_preemption,,,
General-0-20200629-20:05:52-10244,runattr,,,runnumber,0,,,
General-0-20200629-20:05:52-10244,runattr,,,seedset,0,,,
General-0-20200629-20:05:52-10244,param,,,**.displayAddresses,true,,,
General-0-20200629-20:05:52-10244,param,,,**.verbose,true,,,
General-0-20200629-20:05:52-10244,param,,,**.robotController.eth.address,"""00-00-00-00-00-01""",,,
General-0-20200629-20:05:52-10244,param,,,**.workstation1.eth.address,"""00-00-00-00-00-02""",,,
General-0-20200629-20:05:52-10244,param,,,**.workstation2.eth.address,"""00-00-00-00-00-03""",,,
General-0-20200629-20:05:52-10244,param,,,**.roboticArm.eth.address,"""00-00-00-00-00-04""",,,
General-0-20200629-20:05:52-10244,param,,,**.backupServer.eth.address,"""00-00-00-00-00-05""",,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.processingDelay.delay,5us,,,
General-0-20200629-20:05:52-10244,param,,,**.filteringDatabase.database,"xmldoc(""xml/TestScenarioRouting.xml"", ""/filteringDatabases/"")",,,
General-0-20200629-20:05:52-10244,param,,,**.switchA.eth[3].queue.gateController.initialSchedule,"xmldoc(""xml/TestScenarioSchedule_AllOpen.xml"", ""/schedules/switch[@name='switchA']/port[@id='3']/schedule"")",,,
General-0-20200629-20:05:52-10244,param,,,**.switchB.eth[0].queue.gateController.initialSchedule,"xmldoc(""xml/TestScenarioSchedule_AllOpen.xml"", ""/schedules/switch[@name='switchB']/port[@id='0']/schedule"")",,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.gateController.enableHoldAndRelease,false,,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.numberOfQueues,8,,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.tsAlgorithms[0].typename,"""StrictPriority""",,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.tsAlgorithms[1].typename,"""StrictPriority""",,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.tsAlgorithms[2].typename,"""StrictPriority""",,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.tsAlgorithms[3].typename,"""StrictPriority""",,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.tsAlgorithms[4].typename,"""StrictPriority""",,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.tsAlgorithms[5].typename,"""StrictPriority""",,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.tsAlgorithms[6].typename,"""StrictPriority""",,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.tsAlgorithms[7].typename,"""StrictPriority""",,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.queues[0].expressQueue,false,,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.queues[1].expressQueue,false,,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.queues[2].expressQueue,false,,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.queues[3].expressQueue,false,,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.queues[4].expressQueue,false,,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.queues[5].expressQueue,false,,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.queues[6].expressQueue,false,,,
General-0-20200629-20:05:52-10244,param,,,**.switch*.eth[*].queue.queues[7].expressQueue,true,,,
General-0-20200629-20:05:52-10244,param,,,**.queues[*].bufferCapacity,363360b,,,
General-0-20200629-20:05:52-10244,param,,,**.switchA.eth[3].mac.enablePreemptingFrames,true,,,
General-0-20200629-20:05:52-10244,param,,,**.robotController.trafGenSchedApp.initialSchedule,"xmldoc(""xml/TestScenarioSchedule_AllOpen.xml"")",,,
General-0-20200629-20:05:52-10244,param,,,**.workstation*.trafGenApp.destAddress,"""00-00-00-00-00-05""",,,
General-0-20200629-20:05:52-10244,param,,,**.workstation*.trafGenApp.packetLength,1500Byte-4Byte,,,
General-0-20200629-20:05:52-10244,param,,,**.workstation*.trafGenApp.sendInterval,12us,,,
General-0-20200629-20:05:52-10244,param,,,**.workstation*.trafGenApp.vlanTagEnabled,true,,,
General-0-20200629-20:05:52-10244,param,,,**.workstation1.trafGenApp.pcp,6,,,
General-0-20200629-20:05:52-10244,param,,,**.workstation2.trafGenApp.pcp,5,,,
General-0-20200629-20:05:52-10244,param,,,**.roboticArm.trafGenApp.numPacketsPerBurst,0,,,
General-0-20200629-20:05:52-10244,param,,,**.roboticArm.trafGenApp.sendInterval,1ms,,,
General-0-20200629-20:05:52-10244,param,,,**.roboticArm.trafGenApp.packetLength,100B,,,
General-0-20200629-20:05:52-10244,param,,,**.backupServer.trafGenApp.numPacketsPerBurst,0,,,
General-0-20200629-20:05:52-10244,param,,,**.backupServer.trafGenApp.sendInterval,1ms,,,
General-0-20200629-20:05:52-10244,param,,,**.backupServer.trafGenApp.packetLength,100B,,,
General-0-20200629-20:05:52-10244,vector,TestScenario.switchB.eth[2].queue.queues[4],queueLength:vector,,,,0,0
General-0-20200629-20:05:52-10244,attr,TestScenario.switchB.eth[2].queue.queues[4],queueLength:vector,interpolationmode,sample-hold,,,
General-0-20200629-20:05:52-10244,attr,TestScenario.switchB.eth[2].queue.queues[4],queueLength:vector,title,"queue length, vector",,,
